period,value
2026-01,444
2025-12,458
2025-11,469
2025-10,477
2025-09,470
2025-08,470
2025-07,469
2025-06,469
2025-05,463
2025-04,448
2025-03,469
2025-02,467
2025-01,476
2024-12,503
2024-11,513
2024-10,492
2024-09,468
2024-08,447
2024-07,438
2024-06,442
2024-05,456
2024-04,448
2024-03,468
2024-02,466
2024-01,444
2023-12,489
2023-11,483
2023-10,473
2023-09,460
2023-08,466
2023-07,457
2023-06,464
2023-05,457
2023-04,450
2023-03,437
2023-02,420
2023-01,429
2022-12,416
2022-11,451
2022-10,441
2022-09,438
2022-08,436
2022-07,433
2022-06,432
2022-05,439
2022-04,451
2022-03,454
2022-02,445
2022-01,436
2021-12,453
2021-11,454
2021-10,460
2021-09,434
2021-08,417
2021-07,411
2021-06,407
2021-05,423
2021-04,420
2021-03,386
2021-02,388
2021-01,393
2020-12,396
2020-11,411
2020-10,418
2020-09,440
2020-08,466
2020-07,468
2020-06,460
2020-05,468
2020-04,512
2020-03,518
2020-02,527
2020-01,540
2019-12,557
2019-11,577
2019-10,568
2019-09,533
2019-08,535
2019-07,522
2019-06,530
2019-05,511
2019-04,497
2019-03,481
2019-02,498
2019-01,511
2018-12,528
2018-11,526
2018-10,505
2018-09,489
2018-08,478
2018-07,436
2018-06,423
2018-05,443
2018-04,445
2018-03,430
2018-02,423
2018-01,432
2017-12,436
2017-11,421
2017-10,409
2017-09,399
2017-08,374
2017-07,346
2017-06,330
2017-05,333
2017-04,326
2017-03,307
2017-02,293
2017-01,294
2016-12,301
2016-11,313
2016-10,319
2016-09,320
2016-08,322
2016-07,320
2016-06,308
2016-05,310
2016-04,318
2016-03,317
2016-02,325
2016-01,330
2015-12,329
2015-11,339
2015-10,343
2015-09,339
2015-08,346
2015-07,342
2015-06,335
2015-05,338
2015-04,336
2015-03,329
2015-02,324
2015-01,316
2014-12,309
2014-11,295
2014-10,291
2014-09,281
2014-08,283
2014-07,271
2014-06,263
2014-05,253
2014-04,237
2014-03,232
2014-02,215
2014-01,211
2013-12,209
2013-11,215
2013-10,209
2013-09,189
2013-08,189
2013-07,179
2013-06,169
2013-05,166
2013-04,168
2013-03,163
2013-02,162
2013-01,156
2012-12,161
2012-11,160
2012-10,154
2012-09,140
2012-08,133
2012-07,130
2012-06,127
2012-05,132
2012-04,123
2012-03,127
2012-02,123
2012-01,121
2011-12,117
2011-11,118
2011-10,115
2011-09,114
2011-08,111
2011-07,106
2011-06,108
2011-05,106
2011-04,107
2011-03,105
2011-02,98
2011-01,94
2010-12,98
2010-11,97
2010-10,95
2010-09,96
2010-08,93
2010-07,83
2010-06,86
2010-05,89
2010-04,88
2010-03,88
2010-02,88
2010-01,86
2009-12,82
2009-11,85
2009-10,81
2009-09,83
2009-08,82
2009-07,81
2009-06,83
2009-05,82
2009-04,82
2009-03,86
2009-02,87
2009-01,85
2008-12,83
2008-11,87
2008-10,86
2008-09,88
2008-08,82
2008-07,81
2008-06,82
2008-05,81
2008-04,81
2008-03,80
2008-02,77
2008-01,73
2007-12,72
2007-11,77
2007-10,76
2007-09,72
2007-08,74
2007-07,72
2007-06,73
2007-05,74
2007-04,74
2007-03,71
2007-02,64
2007-01,61
2006-12,64
2006-11,69
2006-10,70
2006-09,68
2006-08,68
2006-07,68
2006-06,67
2006-05,69
2006-04,67
2006-03,68
2006-02,65
2006-01,63
2005-12,62
2005-11,66
2005-10,65
2005-09,64
2005-08,65
2005-07,62
2005-06,64
2005-05,66
2005-04,62
2005-03,63
2005-02,63
2005-01,61
2004-12,61
2004-11,61
2004-10,61
2004-09,61
2004-08,62
2004-07,61
2004-06,63
2004-05,63
2004-04,63
2004-03,63
2004-02,61
2004-01,59
2003-12,61
2003-11,59
2003-10,60
2003-09,61
2003-08,58
2003-07,58
2003-06,59
2003-05,58
2003-04,59
2003-03,57
2003-02,58
2003-01,58
2002-12,59
2002-11,57
2002-10,57
2002-09,57
2002-08,55
2002-07,54
2002-06,55
2002-05,56
2002-04,57
2002-03,56
2002-02,56
2002-01,56
2001-12,44
2001-11,44
2001-10,44
2001-09,44
2001-08,45
2001-07,45
2001-06,45
2001-05,46
2001-04,46
2001-03,46
2001-02,46
2001-01,48
2000-12,49
2000-11,49
2000-10,50
2000-09,50
2000-08,50
2000-07,50
2000-06,50
2000-05,51
2000-04,51
2000-03,52
2000-02,52
2000-01,53
1999-12,50
1999-11,49
1999-10,50
1999-09,49
1999-08,50
1999-07,49
1999-06,51
1999-05,49
1999-04,49
1999-03,54
1999-02,52
1999-01,54
1998-12,60
1998-11,57
1998-10,54
1998-09,60
1998-08,60
1998-07,59
1998-06,61
1998-05,63
1998-04,64
1998-03,66
1998-02,67
1998-01,66
1997-12,74
1997-11,69
1997-10,66
1997-09,69
1997-08,68
1997-07,68
1997-06,71
1997-05,69
1997-04,73
1997-03,73
1997-02,72
1997-01,70
1996-12,65
1996-11,65
1996-10,68
1996-09,68
1996-08,65
1996-07,69
1996-06,69
1996-05,67
1996-04,71
1996-03,69
1996-02,71
1996-01,70
1995-12,75
1995-11,76
1995-10,71
1995-09,73
1995-08,73
1995-07,73
1995-06,72
1995-05,78
1995-04,81
1995-03,83
1995-02,83
1995-01,83
1994-12,78
1994-11,75
1994-10,75
1994-09,77
1994-08,77
1994-07,77
1994-06,79
1994-05,83
1994-04,79
1994-03,82
1994-02,82
1994-01,77
1993-12,81
1993-11,82
1993-10,78
1993-09,78
1993-08,78
1993-07,78
1993-06,79
1993-05,93
1993-04,75
1993-03,83
1993-02,81
1993-01,79
1992-12,78
1992-11,78
1992-10,82
1992-09,82
1992-08,79
1992-07,80
1992-06,82
1992-05,83
1992-04,85
1992-03,82
1992-02,84
1992-01,83
1991-12,88
1991-11,85
1991-10,85
1991-09,85
1991-08,85
1991-07,85
1991-06,88
1991-05,88
1991-04,87
1991-03,86
1991-02,86
1991-01,84
1990-12,78
1990-11,84
1990-10,84
1990-09,84
1990-08,82
1990-07,83
1990-06,84
1990-05,86
1990-04,85
1990-03,85
1990-02,84
1990-01,83
1989-12,79
1989-11,83
1989-10,83
1989-09,81
1989-08,82
1989-07,82
1989-06,85
1989-05,86
1989-04,87
1989-03,86
1989-02,85
1989-01,88
1988-12,86
1988-11,88
1988-10,89
1988-09,89
1988-08,90
1988-07,90
1988-06,92
1988-05,89
1988-04,91
1988-03,88
1988-02,87
1988-01,82
1987-12,81
1987-11,77
1987-10,80
1987-09,81
1987-08,80
1987-07,80
1987-06,80
1987-05,78
1987-04,78
1987-03,78
1987-02,77
1987-01,77
1986-12,77
1986-11,77
1986-10,78
1986-09,77
1986-08,78
1986-07,78
1986-06,80
1986-05,82
1986-04,82
1986-03,85
1986-02,84
1986-01,85
1985-12,82
1985-11,82
1985-10,82
1985-09,82
1985-08,82
1985-07,80
1985-06,82
1985-05,84
1985-04,86
1985-03,85
1985-02,82
1985-01,86
1984-12,78
1984-11,78
1984-10,78
1984-09,78
1984-08,76
1984-07,77
1984-06,81
1984-05,81
1984-04,81
1984-03,81
1984-02,79
1984-01,76
1983-12,76
1983-11,82
1983-10,82
1983-09,82
1983-08,79
1983-07,85
1983-06,77
1983-05,77
1983-04,77
1983-03,77
1983-02,79
1983-01,81
1982-12,77
1982-11,80
1982-10,82
1982-09,82
1982-08,82
1982-07,84
1982-06,87
1982-05,86
1982-04,88
1982-03,88
1982-02,84
1982-01,84
1981-12,87
1981-11,88
1981-10,89
1981-09,82
1981-08,80
1981-07,81
1981-06,82
1981-05,81
1981-04,83
1981-03,82
1981-02,81
1981-01,81
