period,value
2026-01,1110
2025-12,1092
2025-11,1168
2025-10,1164
2025-09,1157
2025-08,1169
2025-07,1177
2025-06,1160
2025-05,1121
2025-04,1161
2025-03,1172
2025-02,1135
2025-01,1167
2024-12,1192
2024-11,1223
2024-10,1179
2024-09,1200
2024-08,1177
2024-07,1169
2024-06,1182
2024-05,1195
2024-04,1238
2024-03,1227
2024-02,1251
2024-01,1101
2023-12,1274
2023-11,1278
2023-10,1253
2023-09,1287
2023-08,1207
2023-07,1173
2023-06,1160
2023-05,1127
2023-04,1123
2023-03,1112
2023-02,1147
2023-01,1053
2022-12,950
2022-11,1088
2022-10,1108
2022-09,1112
2022-08,1062
2022-07,1061
2022-06,1087
2022-05,1050
2022-04,901
2022-03,1117
2022-02,1083
2022-01,1080
2021-12,1135
2021-11,1151
2021-10,1103
2021-09,1103
2021-08,1098
2021-07,1069
2021-06,1125
2021-05,1119
2021-04,1111
2021-03,1097
2021-02,1072
2021-01,1135
2020-12,1178
2020-11,1213
2020-10,1217
2020-09,1210
2020-08,1155
2020-07,1033
2020-06,885
2020-05,851
2020-04,1210
2020-03,1421
2020-02,1438
2020-01,1413
2019-12,1458
2019-11,1499
2019-10,1498
2019-09,1426
2019-08,1462
2019-07,1429
2019-06,1407
2019-05,1376
2019-04,1374
2019-03,1377
2019-02,1320
2019-01,1385
2018-12,1386
2018-11,1362
2018-10,1376
2018-09,1342
2018-08,1278
2018-07,1258
2018-06,1216
2018-05,1230
2018-04,1209
2018-03,1147
2018-02,1161
2018-01,1163
2017-12,1164
2017-11,1183
2017-10,1171
2017-09,1094
2017-08,1079
2017-07,1040
2017-06,1023
2017-05,1027
2017-04,1040
2017-03,1016
2017-02,1025
2017-01,976
2016-12,935
2016-11,1026
2016-10,1037
2016-09,965
2016-08,976
2016-07,1023
2016-06,1020
2016-05,1040
2016-04,1035
2016-03,1104
2016-02,1112
2016-01,1114
2015-12,1145
2015-11,1174
2015-10,1166
2015-09,1155
2015-08,1181
2015-07,1200
2015-06,1204
2015-05,1196
2015-04,1165
2015-03,1182
2015-02,1170
2015-01,1183
2014-12,1219
2014-11,1179
2014-10,1174
2014-09,1174
2014-08,1123
2014-07,1106
2014-06,1083
2014-05,1030
2014-04,996
2014-03,969
2014-02,945
2014-01,932
2013-12,927
2013-11,974
2013-10,941
2013-09,931
2013-08,908
2013-07,869
2013-06,821
2013-05,808
2013-04,790
2013-03,783
2013-02,778
2013-01,736
2012-12,766
2012-11,733
2012-10,747
2012-09,726
2012-08,702
2012-07,674
2012-06,662
2012-05,641
2012-04,609
2012-03,579
2012-02,557
2012-01,546
2011-12,533
2011-11,509
2011-10,489
2011-09,462
2011-08,444
2011-07,424
2011-06,384
2011-05,362
2011-04,350
2011-03,359
2011-02,347
2011-01,342
2010-12,343
2010-11,356
2010-10,342
2010-09,342
2010-08,328
2010-07,320
2010-06,313
2010-05,298
2010-04,284
2010-03,276
2010-02,260
2010-01,235
2009-12,242
2009-11,247
2009-10,241
2009-09,238
2009-08,232
2009-07,228
2009-06,215
2009-05,206
2009-04,197
2009-03,195
2009-02,192
2009-01,188
2008-12,201
2008-11,214
2008-10,203
2008-09,189
2008-08,178
2008-07,172
2008-06,165
2008-05,155
2008-04,150
2008-03,143
2008-02,137
2008-01,137
2007-12,135
2007-11,130
2007-10,128
2007-09,126
2007-08,124
2007-07,123
2007-06,121
2007-05,120
2007-04,118
2007-03,117
2007-02,116
2007-01,114
2006-12,114
2006-11,114
2006-10,113
2006-09,112
2006-08,111
2006-07,109
2006-06,111
2006-05,109
2006-04,103
2006-03,105
2006-02,103
2006-01,98
2005-12,104
2005-11,105
2005-10,103
2005-09,101
2005-08,100
2005-07,98
2005-06,96
2005-05,93
2005-04,94
2005-03,95
2005-02,93
2005-01,90
2004-12,93
2004-11,91
2004-10,88
2004-09,87
2004-08,86
2004-07,84
2004-06,84
