period,value
2026-01,2119
2025-12,2258
2025-11,2324
2025-10,2348
2025-09,2319
2025-08,2300
2025-07,2287
2025-06,2219
2025-05,2197
2025-04,2197
2025-03,2265
2025-02,2156
2025-01,2059
2024-12,2106
2024-11,2119
2024-10,2114
2024-09,2049
2024-08,2068
2024-07,2005
2024-06,1975
2024-05,1993
2024-04,1998
2024-03,2012
2024-02,1968
2024-01,1866
2023-12,1963
2023-11,1912
2023-10,1820
2023-09,1822
2023-08,1812
2023-07,1761
2023-06,1756
2023-05,1831
2023-04,1878
2023-03,1872
2023-02,1819
2023-01,1854
2022-12,1808
2022-11,1754
2022-10,1753
2022-09,1731
2022-08,1662
2022-07,1628
2022-06,1569
2022-05,1578
2022-04,1560
2022-03,1519
2022-02,1444
2022-01,1383
2021-12,1395
2021-11,1440
2021-10,1395
2021-09,1363
2021-08,1377
2021-07,1302
2021-06,1277
2021-05,1235
2021-04,1182
2021-03,1166
2021-02,992
2021-01,1093
2020-12,1057
2020-11,1100
2020-10,1083
2020-09,1037
2020-08,1012
2020-07,990
2020-06,945
2020-05,848
2020-04,1024
2020-03,1125
2020-02,1097
2020-01,1073
2019-12,1056
2019-11,1051
2019-10,994
2019-09,990
2019-08,939
2019-07,892
2019-06,887
2019-05,895
2019-04,871
2019-03,862
2019-02,829
2019-01,810
2018-12,823
2018-11,795
2018-10,775
2018-09,734
2018-08,713
2018-07,666
2018-06,656
2018-05,645
2018-04,642
2018-03,615
2018-02,585
2018-01,541
2017-12,555
2017-11,528
2017-10,522
2017-09,499
2017-08,459
2017-07,447
2017-06,443
2017-05,462
2017-04,445
2017-03,442
2017-02,443
2017-01,419
2016-12,420
2016-11,416
2016-10,408
2016-09,401
2016-08,392
2016-07,392
2016-06,389
2016-05,393
2016-04,405
2016-03,406
2016-02,407
2016-01,379
2015-12,359
2015-11,414
2015-10,408
2015-09,416
2015-08,416
2015-07,406
2015-06,416
2015-05,427
2015-04,427
2015-03,419
2015-02,394
2015-01,368
2014-12,382
2014-11,377
2014-10,371
2014-09,339
2014-08,348
2014-07,346
2014-06,332
2014-05,334
2014-04,332
2014-03,323
2014-02,319
2014-01,307
2013-12,299
2013-11,286
2013-10,301
2013-09,299
2013-08,291
2013-07,287
2013-06,285
2013-05,281
2013-04,278
2013-03,259
2013-02,258
2013-01,254
2012-12,254
2012-11,253
2012-10,251
2012-09,245
2012-08,236
2012-07,237
2012-06,228
2012-05,224
2012-04,223
2012-03,219
2012-02,217
2012-01,217
2011-12,208
2011-11,212
2011-10,201
2011-09,201
2011-08,200
2011-07,197
2011-06,193
2011-05,193
2011-04,194
2011-03,194
2011-02,164
2011-01,191
2010-12,188
2010-11,190
2010-10,186
2010-09,178
2010-08,180
2010-07,179
2010-06,176
2010-05,178
2010-04,175
2010-03,180
2010-02,179
2010-01,170
2009-12,167
2009-11,173
2009-10,168
2009-09,165
2009-08,164
2009-07,160
2009-06,163
2009-05,167
2009-04,166
2009-03,173
2009-02,175
2009-01,171
2008-12,171
2008-11,171
2008-10,169
2008-09,157
2008-08,163
2008-07,163
2008-06,161
2008-05,162
2008-04,162
2008-03,166
2008-02,166
2008-01,163
2007-12,165
2007-11,165
2007-10,163
2007-09,160
2007-08,161
2007-07,158
2007-06,160
2007-05,161
2007-04,164
2007-03,163
2007-02,166
2007-01,162
2006-12,165
2006-11,169
2006-10,163
2006-09,164
2006-08,148
2006-07,160
2006-06,162
2006-05,164
2006-04,162
2006-03,164
2006-02,167
2006-01,167
2005-12,163
2005-11,164
2005-10,169
2005-09,161
2005-08,163
2005-07,163
2005-06,167
2005-05,169
2005-04,169
2005-03,171
2005-02,172
2005-01,173
2004-12,170
2004-11,173
2004-10,172
2004-09,172
2004-08,173
2004-07,173
2004-06,175
2004-05,179
2004-04,179
2004-03,181
2004-02,182
2004-01,186
2003-12,184
2003-11,184
2003-10,182
2003-09,182
2003-08,181
2003-07,182
2003-06,181
2003-05,181
2003-04,181
2003-03,184
2003-02,183
2003-01,184
2002-12,187
2002-11,188
2002-10,184
2002-09,189
2002-08,179
2002-07,181
2002-06,182
2002-05,187
2002-04,188
2002-03,184
2002-02,187
2002-01,187
2001-12,181
2001-11,185
2001-10,188
2001-09,185
2001-08,186
2001-07,182
2001-06,184
2001-05,189
2001-04,190
2001-03,187
2001-02,192
2001-01,187
2000-12,180
2000-11,179
2000-10,177
2000-09,180
2000-08,179
2000-07,182
2000-06,184
2000-05,188
2000-04,188
2000-03,187
2000-02,190
2000-01,189
1999-12,172
1999-11,172
1999-10,173
1999-09,178
1999-08,178
1999-07,176
1999-06,177
1999-05,179
1999-04,181
1999-03,179
1999-02,177
1999-01,175
1998-12,200
1998-11,200
1998-10,198
1998-09,186
1998-08,176
1998-07,184
1998-06,195
1998-05,201
1998-04,209
1998-03,213
1998-02,195
1998-01,221
1997-12,187
1997-11,190
1997-10,190
1997-09,190
1997-08,192
1997-07,191
1997-06,178
1997-05,196
1997-04,197
1997-03,195
1997-02,197
1997-01,192
1996-12,174
1996-11,176
1996-10,177
1996-09,171
1996-08,184
1996-07,177
1996-06,174
1996-05,171
1996-04,177
1996-03,179
1996-02,177
1996-01,177
1995-12,177
1995-11,177
1995-10,174
1995-09,174
1995-08,182
1995-07,178
1995-06,178
1995-05,180
1995-04,176
1995-03,176
1995-02,176
1995-01,172
1994-12,180
1994-11,176
1994-10,174
1994-09,178
1994-08,178
1994-07,177
1994-06,177
1994-05,180
1994-04,183
1994-03,188
1994-02,187
1994-01,187
1993-12,193
1993-11,192
1993-10,188
1993-09,184
1993-08,184
1993-07,184
1993-06,186
1993-05,180
1993-04,188
1993-03,191
1993-02,191
1993-01,189
1992-12,188
1992-11,188
1992-10,188
1992-09,189
1992-08,190
1992-07,190
1992-06,192
1992-05,193
1992-04,194
1992-03,195
1992-02,197
1992-01,190
1991-12,193
1991-11,192
1991-10,193
1991-09,189
1991-08,190
1991-07,187
1991-06,190
1991-05,194
1991-04,198
1991-03,196
1991-02,198
1991-01,195
1990-12,185
1990-11,189
1990-10,188
1990-09,182
1990-08,182
1990-07,179
1990-06,180
1990-05,183
1990-04,183
1990-03,186
1990-02,186
1990-01,186
1989-12,181
1989-11,188
1989-10,187
1989-09,184
1989-08,185
1989-07,186
1989-06,186
1989-05,191
1989-04,189
1989-03,193
1989-02,191
1989-01,198
1988-12,191
1988-11,192
1988-10,193
1988-09,193
1988-08,194
1988-07,191
1988-06,194
1988-05,192
1988-04,196
1988-03,200
1988-02,201
1988-01,199
1987-12,199
1987-11,200
1987-10,203
1987-09,201
1987-08,198
1987-07,196
1987-06,194
1987-05,195
1987-04,197
1987-03,199
1987-02,199
1987-01,198
1986-12,199
1986-11,201
1986-10,203
1986-09,198
1986-08,198
1986-07,205
1986-06,211
1986-05,210
1986-04,210
1986-03,218
1986-02,220
1986-01,219
1985-12,216
1985-11,212
1985-10,211
1985-09,212
1985-08,213
1985-07,212
1985-06,214
1985-05,216
1985-04,220
1985-03,220
1985-02,217
1985-01,219
1984-12,221
1984-11,222
1984-10,220
1984-09,216
1984-08,216
1984-07,215
1984-06,216
1984-05,216
1984-04,213
1984-03,218
1984-02,218
1984-01,211
1983-12,198
1983-11,211
1983-10,211
1983-09,209
1983-08,208
1983-07,203
1983-06,203
1983-05,203
1983-04,207
1983-03,208
1983-02,207
1983-01,203
1982-12,171
1982-11,203
1982-10,201
1982-09,195
1982-08,194
1982-07,192
1982-06,194
1982-05,195
1982-04,202
1982-03,199
1982-02,196
1982-01,194
1981-12,199
1981-11,195
1981-10,195
1981-09,194
1981-08,194
1981-07,192
1981-06,192
1981-05,195
1981-04,197
1981-03,197
1981-02,200
1981-01,203
