period,value
2026-01,374
2025-12,412
2025-11,417
2025-10,418
2025-09,414
2025-08,400
2025-07,395
2025-06,403
2025-05,407
2025-04,406
2025-03,406
2025-02,380
2025-01,399
2024-12,408
2024-11,408
2024-10,402
2024-09,399
2024-08,387
2024-07,384
2024-06,394
2024-05,402
2024-04,415
2024-03,404
2024-02,408
2024-01,382
2023-12,415
2023-11,420
2023-10,416
2023-09,423
2023-08,433
2023-07,441
2023-06,435
2023-05,453
2023-04,435
2023-03,440
2023-02,412
2023-01,426
2022-12,412
2022-11,432
2022-10,418
2022-09,403
2022-08,419
2022-07,410
2022-06,426
2022-05,426
2022-04,430
2022-03,432
2022-02,364
2022-01,400
2021-12,418
2021-11,404
2021-10,412
2021-09,424
2021-08,395
2021-07,396
2021-06,404
2021-05,415
2021-04,418
2021-03,424
2021-02,308
2021-01,437
2020-12,447
2020-11,470
2020-10,428
2020-09,443
2020-08,460
2020-07,491
2020-06,469
2020-05,321
2020-04,482
2020-03,546
2020-02,557
2020-01,558
2019-12,611
2019-11,588
2019-10,619
2019-09,624
2019-08,570
2019-07,589
2019-06,588
2019-05,594
2019-04,611
2019-03,589
2019-02,554
2019-01,592
2018-12,607
2018-11,579
2018-10,577
2018-09,553
2018-08,582
2018-07,529
2018-06,513
2018-05,532
2018-04,533
2018-03,554
2018-02,509
2018-01,526
2017-12,496
2017-11,505
2017-10,485
2017-09,464
2017-08,462
2017-07,448
2017-06,454
2017-05,432
2017-04,430
2017-03,441
2017-02,413
2017-01,407
2016-12,417
2016-11,428
2016-10,424
2016-09,413
2016-08,418
2016-07,414
2016-06,425
2016-05,431
2016-04,414
2016-03,441
2016-02,403
2016-01,454
2015-12,456
2015-11,440
2015-10,453
2015-09,450
2015-08,443
2015-07,446
2015-06,466
2015-05,462
2015-04,476
2015-03,480
2015-02,421
2015-01,447
2014-12,448
2014-11,443
2014-10,448
2014-09,435
2014-08,424
2014-07,426
2014-06,406
2014-05,409
2014-04,353
2014-03,389
2014-02,374
2014-01,386
2013-12,352
2013-11,350
2013-10,374
2013-09,368
2013-08,364
2013-07,336
2013-06,345
2013-05,338
2013-04,339
2013-03,324
2013-02,278
2013-01,315
2012-12,299
2012-11,304
2012-10,302
2012-09,284
2012-08,287
2012-07,279
2012-06,264
2012-05,269
2012-04,256
2012-03,255
2012-02,255
2012-01,256
2011-12,245
2011-11,247
2011-10,239
2011-09,233
2011-08,225
2011-07,224
2011-06,227
2011-05,223
2011-04,221
2011-03,225
2011-02,180
2011-01,204
2010-12,208
2010-11,211
2010-10,197
2010-09,193
2010-08,191
2010-07,191
2010-06,189
2010-05,187
2010-04,194
2010-03,193
2010-02,187
2010-01,167
2009-12,173
2009-11,183
2009-10,182
2009-09,186
2009-08,183
2009-07,183
2009-06,192
2009-05,189
2009-04,186
2009-03,183
2009-02,194
2009-01,176
2008-12,176
2008-11,181
2008-10,185
2008-09,186
2008-08,188
2008-07,184
2008-06,186
2008-05,188
2008-04,191
2008-03,189
2008-02,165
2008-01,188
2007-12,171
2007-11,178
2007-10,146
2007-09,185
2007-08,173
2007-07,176
2007-06,172
2007-05,179
2007-04,179
2007-03,178
2007-02,172
2007-01,159
2006-12,181
2006-11,171
2006-10,175
2006-09,177
2006-08,175
2006-07,178
2006-06,178
2006-05,177
2006-04,174
2006-03,179
2006-02,169
2006-01,175
2005-12,168
2005-11,174
2005-10,173
2005-09,175
2005-08,142
2005-07,173
2005-06,145
2005-05,172
2005-04,176
2005-03,179
2005-02,173
2005-01,164
2004-12,179
2004-11,165
2004-10,174
2004-09,176
2004-08,177
2004-07,175
2004-06,166
2004-05,180
2004-04,177
2004-03,180
2004-02,173
2004-01,174
2003-12,177
2003-11,168
2003-10,174
2003-09,174
2003-08,172
2003-07,177
2003-06,178
2003-05,179
2003-04,187
2003-03,186
2003-02,171
2003-01,188
2002-12,170
2002-11,183
2002-10,177
2002-09,179
2002-08,181
2002-07,182
2002-06,184
2002-05,188
2002-04,190
2002-03,185
2002-02,179
2002-01,186
2001-12,182
2001-11,183
2001-10,186
2001-09,183
2001-08,179
2001-07,182
2001-06,194
2001-05,190
2001-04,198
2001-03,201
2001-02,190
2001-01,186
2000-12,183
2000-11,187
2000-10,180
2000-09,201
2000-08,184
2000-07,189
2000-06,191
2000-05,193
2000-04,195
2000-03,197
2000-02,207
2000-01,189
1999-12,192
1999-11,194
1999-10,183
1999-09,189
1999-08,189
1999-07,187
1999-06,192
1999-05,196
1999-04,200
1999-03,202
1999-02,202
1999-01,195
1998-12,189
1998-11,200
1998-10,202
1998-09,210
1998-08,212
1998-07,214
1998-06,211
