period,value
2026-01,5570
2025-12,5806
2025-11,5831
2025-10,5767
2025-09,5812
2025-08,5836
2025-07,5840
2025-06,5756
2025-05,5711
2025-04,5750
2025-03,5663
2025-02,5665
2025-01,5579
2024-12,5685
2024-11,5768
2024-10,5832
2024-09,5798
2024-08,5805
2024-07,5700
2024-06,5756
2024-05,5688
2024-04,5637
2024-03,5583
2024-02,5524
2024-01,5327
2023-12,5582
2023-11,5639
2023-10,5555
2023-09,5524
2023-08,5543
2023-07,5524
2023-06,5436
2023-05,5462
2023-04,5430
2023-03,5469
2023-02,5309
2023-01,5328
2022-12,5218
2022-11,5323
2022-10,5311
2022-09,5283
2022-08,5187
2022-07,5110
2022-06,5069
2022-05,5039
2022-04,5095
2022-03,5057
2022-02,4906
2022-01,4890
2021-12,5041
2021-11,5022
2021-10,4996
2021-09,4988
2021-08,4893
2021-07,4833
2021-06,4779
2021-05,4792
2021-04,4795
2021-03,4786
2021-02,3770
2021-01,4638
2020-12,4635
2020-11,4658
2020-10,4642
2020-09,4635
2020-08,4672
2020-07,4720
2020-06,4599
2020-05,4227
2020-04,5125
2020-03,5452
2020-02,5406
2020-01,5454
2019-12,5446
2019-11,5399
2019-10,5336
2019-09,5250
2019-08,5172
2019-07,5113
2019-06,5046
2019-05,5005
2019-04,4972
2019-03,4869
2019-02,4879
2019-01,4809
2018-12,4866
2018-11,4815
2018-10,4696
2018-09,4675
2018-08,4579
2018-07,4417
2018-06,4373
2018-05,4239
2018-04,4230
2018-03,4186
2018-02,4024
2018-01,3896
2017-12,3936
2017-11,3890
2017-10,3763
2017-09,3551
2017-08,3367
2017-07,3467
2017-06,3441
2017-05,3409
2017-04,3329
2017-03,3321
2017-02,3311
2017-01,3199
2016-12,3170
2016-11,3172
2016-10,3164
2016-09,3129
2016-08,3145
2016-07,3146
2016-06,3147
2016-05,3171
2016-04,3227
2016-03,3264
2016-02,3307
2016-01,3347
2015-12,3322
2015-11,3389
2015-10,3393
2015-09,3410
2015-08,3409
2015-07,3443
2015-06,3457
2015-05,3511
2015-04,3571
2015-03,3619
2015-02,3557
2015-01,3442
2014-12,3547
2014-11,3451
2014-10,3361
2014-09,3286
2014-08,3274
2014-07,3221
2014-06,3145
2014-05,3071
2014-04,3051
2014-03,2964
2014-02,2900
2014-01,2845
2013-12,2784
2013-11,2696
2013-10,2693
2013-09,2672
2013-08,2618
2013-07,2584
2013-06,2534
2013-05,2497
2013-04,2425
2013-03,2390
2013-02,2337
2013-01,2275
2012-12,2234
2012-11,2221
2012-10,2156
2012-09,2091
2012-08,2056
2012-07,1999
2012-06,1950
2012-05,1914
2012-04,1871
2012-03,1801
2012-02,1773
2012-01,1727
2011-12,1690
2011-11,1661
2011-10,1596
2011-09,1538
2011-08,1491
2011-07,1437
2011-06,1401
2011-05,1393
2011-04,1349
2011-03,1337
2011-02,1228
2011-01,1281
2010-12,1279
2010-11,1244
2010-10,1215
2010-09,1191
2010-08,1168
2010-07,1152
2010-06,1139
2010-05,1146
2010-04,1137
2010-03,1137
2010-02,1121
2010-01,1099
2009-12,1091
2009-11,1102
2009-10,1081
2009-09,1081
2009-08,1067
2009-07,1063
2009-06,1071
2009-05,1089
2009-04,1110
2009-03,1118
2009-02,1128
2009-01,1133
2008-12,1134
2008-11,1141
2008-10,1125
2008-09,1055
2008-08,1110
2008-07,1111
2008-06,1097
2008-05,1110
2008-04,1113
2008-03,1114
2008-02,1104
2008-01,1094
2007-12,1087
2007-11,1084
2007-10,1072
2007-09,1069
2007-08,1064
2007-07,1059
2007-06,1058
2007-05,1072
2007-04,1083
2007-03,1080
2007-02,1078
2007-01,1058
2006-12,1078
2006-11,1084
2006-10,1079
2006-09,1071
2006-08,1058
2006-07,1062
2006-06,1065
2006-05,1070
2006-04,1079
2006-03,1087
2006-02,1087
2006-01,1085
2005-12,1073
2005-11,1080
2005-10,1070
2005-09,1038
2005-08,1065
2005-07,1061
2005-06,1070
2005-05,1079
2005-04,1090
2005-03,1098
2005-02,1097
2005-01,1088
2004-12,1074
2004-11,1069
2004-10,1067
2004-09,1067
2004-08,1059
2004-07,1057
2004-06,1057
2004-05,1072
2004-04,1082
2004-03,1089
2004-02,1093
2004-01,1090
2003-12,1096
2003-11,1095
2003-10,1099
2003-09,1095
2003-08,1082
2003-07,1083
2003-06,1085
2003-05,1098
2003-04,1109
2003-03,1115
2003-02,1109
2003-01,1108
2002-12,1105
2002-11,1108
2002-10,1096
2002-09,1097
2002-08,1096
2002-07,1093
2002-06,1099
2002-05,1116
2002-04,1122
2002-03,1126
2002-02,1141
2002-01,1144
2001-12,1149
2001-11,1142
2001-10,1154
2001-09,1138
2001-08,1149
2001-07,1153
2001-06,1154
2001-05,1168
2001-04,1182
2001-03,1181
2001-02,1188
2001-01,1194
2000-12,1199
2000-11,1195
2000-10,1194
2000-09,1196
2000-08,1199
2000-07,1197
2000-06,1208
2000-05,1213
2000-04,1228
2000-03,1234
2000-02,1242
2000-01,1234
1999-12,1241
1999-11,1239
1999-10,1229
1999-09,1215
1999-08,1197
1999-07,1206
1999-06,1205
1999-05,1231
1999-04,1235
1999-03,1244
1999-02,1266
1999-01,1264
1998-12,1272
1998-11,1324
1998-10,1328
1998-09,1340
1998-08,1347
1998-07,1346
1998-06,1387
1998-05,1410
1998-04,1434
1998-03,1456
1998-02,1475
1998-01,1481
1997-12,1462
1997-11,1482
1997-10,1469
1997-09,1466
1997-08,1452
1997-07,1461
1997-06,1471
1997-05,1472
1997-04,1482
1997-03,1479
1997-02,1491
1997-01,1456
1996-12,1471
1996-11,1460
1996-10,1473
1996-09,1468
1996-08,1458
1996-07,1466
1996-06,1480
1996-05,1497
1996-04,1513
1996-03,1521
1996-02,1502
1996-01,1507
1995-12,1508
1995-11,1524
1995-10,1520
1995-09,1504
1995-08,1504
1995-07,1506
1995-06,1520
1995-05,1539
1995-04,1557
1995-03,1562
1995-02,1578
1995-01,1582
1994-12,1595
1994-11,1592
