period,value
2026-01,410638
2025-12,423342
2025-11,413677
2025-10,429777
2025-09,414845
2025-08,428114
2025-07,424926
2025-06,408315
2025-05,416844
2025-04,403968
2025-03,417042
2025-02,370707
2025-01,407352
2024-12,416555
2024-11,401875
2024-10,419427
2024-09,395118
2024-08,415726
2024-07,409579
2024-06,397550
2024-05,410938
2024-04,399415
2024-03,408900
2024-02,380738
2024-01,388037
2023-12,412206
2023-11,399470
2023-10,409614
2023-09,395338
2023-08,402974
2023-07,400286
2023-06,383611
2023-05,394700
2023-04,382025
2023-03,398882
2023-02,353386
2023-01,391843
2022-12,378247
2022-11,374794
2022-10,385700
2022-09,372876
2022-08,376168
2022-07,372277
2022-06,357572
2022-05,364486
2022-04,354887
2022-03,368540
2022-02,321023
2022-01,354968
2021-12,364547
2021-11,356127
2021-10,360845
2021-09,328821
2021-08,350857
2021-07,354035
2021-06,342028
2021-05,354175
2021-04,340660
2021-03,352649
2021-02,278056
2021-01,345823
2020-12,346834
2020-11,336740
2020-10,325240
2020-09,328889
2020-08,328603
2020-07,341432
2020-06,313496
2020-05,301409
2020-04,357550
2020-03,396947
2020-02,373044
2020-01,398830
2019-12,402464
2019-11,389953
2019-10,397088
2019-09,377870
2019-08,387123
2019-07,369109
2019-06,366658
2019-05,376676
2019-04,364329
2019-03,369262
2019-02,326292
2019-01,368063
2018-12,370487
2018-11,356757
2018-10,356755
2018-09,343308
2018-08,353277
2018-07,337984
2018-06,319236
2018-05,323381
2018-04,314798
2018-03,324479
2018-02,287375
2018-01,309990
2017-12,309584
2017-11,302584
2017-10,299677
2017-09,285404
2017-08,287116
2017-07,287049
2017-06,273403
2017-05,284854
2017-04,273158
2017-03,284195
2017-02,254715
2017-01,275124
2016-12,273413
2016-11,267228
2016-10,273066
2016-09,256412
2016-08,269530
2016-07,268728
2016-06,260383
2016-05,274012
2016-04,266390
2016-03,282371
2016-02,262942
2016-01,285472
2015-12,287375
2015-11,279838
2015-10,291219
2015-09,284127
2015-08,291406
2015-07,292509
2015-06,280507
2015-05,293440
2015-04,289565
2015-03,296966
2015-02,265570
2015-01,290697
2014-12,295914
2014-11,279200
2014-10,286760
2014-09,272111
2014-08,276513
2014-07,273952
2014-06,262026
2014-05,267731
2014-04,255597
2014-03,257019
2014-02,228166
2014-01,250240
2013-12,245904
2013-11,237565
2013-10,240567
2013-09,235142
2013-08,233562
2013-07,233174
2013-06,218314
2013-05,227101
2013-04,221205
2013-03,223644
2013-02,200071
2013-01,219570
2012-12,220282
2012-11,212472
2012-10,216057
